application_id,gender,international,gpa,major,race,gmat,work_exp,work_industry,admission
115,Female,False,3.23,STEM,Asian,610.0,5.0,Nonprofit/Gov,Admit
116,Male,False,3.32,Humanities,Hispanic,670.0,4.0,Media/Entertainment,Reject
117,Female,False,3.46,STEM,White,660.0,5.0,,Admit
118,Female,,3.29,Humanities,Black,610.0,4.0,Consulting,Reject
120,Female,,2.99,Humanities,,570.0,,Real Estate,Admit
121,Male,False,3.22,Business,Black,610.0,5.0,Technology,Reject
122,Female,True,3.29,Business,,,4.0,Consulting,Admit
123,Male,True,3.26,Humanities,,650.0,4.0,PE/VC,Reject
124,Male,False,3.25,Humanities,Asian,620.0,6.0,Technology,Reject
125,Male,True,3.32,STEM,,630.0,6.0,Technology,Reject
126,Male,False,3.44,Business,White,740.0,6.0,PE/VC,Reject
127,Male,True,3.4,,,730.0,5.0,Nonprofit/Gov,Reject
128,Female,False,3.51,Humanities,Black,700.0,7.0,Nonprofit/Gov,Reject
129,Female,False,3.43,Humanities,Black,710.0,7.0,Other,Reject
130,Female,False,3.27,Business,White,660.0,6.0,Other,Admit
131,Male,False,3.34,Humanities,White,700.0,4.0,Consulting,Admit
132,Male,False,3.07,Humanities,Other,640.0,6.0,Other,Reject
133,Male,True,3.36,Humanities,,670.0,2.0,PE/VC,Reject
134,Male,False,3.21,Humanities,White,690.0,7.0,Real Estate,Reject
135,Female,False,3.28,Humanities,White,610.0,6.0,Consulting,Admit
136,Female,False,3.06,Business,Black,,5.0,Consulting,Reject
137,Male,False,3.32,Business,White,670.0,4.0,Financial Services,Reject
138,Male,True,3.33,Humanities,,670.0,5.0,Consulting,Reject
139,Female,False,3.31,STEM,Asian,600.0,5.0,Investment Banking,Admit
140,Male,False,3.16,STEM,Hispanic,570.0,5.0,Technology,Reject
141,Male,False,3.2,STEM,Asian,600.0,6.0,Consulting,Reject
142,Male,,3.17,STEM,,600.0,4.0,Investment Banking,Reject
143,Female,True,3.48,STEM,,780.0,5.0,PE/VC,Admit
144,Male,False,3.1,STEM,,570.0,5.0,Nonprofit/Gov,Reject
145,Male,False,2.95,Business,Asian,,5.0,Investment Management,Reject
146,Male,False,3.32,Humanities,White,570.0,6.0,Technology,Reject
147,Male,False,3.24,Humanities,Black,660.0,7.0,Investment Management,Reject
148,Female,False,3.21,STEM,Black,580.0,6.0,Financial Services,Reject
149,Male,False,3.32,Humanities,Asian,660.0,4.0,Investment Banking,Reject
150,Male,False,3.2,Humanities,Hispanic,630.0,6.0,,Reject
151,Male,False,3.37,Business,Asian,710.0,,Technology,Admit
152,Male,False,3.14,Humanities,Asian,620.0,5.0,Technology,Reject
153,Female,True,3.32,Humanities,,650.0,5.0,Real Estate,Admit
154,Female,True,3.13,Business,,580.0,4.0,Consulting,Admit
155,Female,False,3.55,Humanities,Asian,680.0,6.0,PE/VC,Admit
156,Male,,3.22,STEM,White,620.0,5.0,PE/VC,Reject
157,Male,True,3.42,STEM,,630.0,,Financial Services,Reject
158,Female,False,3.18,STEM,,650.0,6.0,Nonprofit/Gov,Admit
159,Male,,3.14,STEM,,620.0,6.0,Nonprofit/Gov,Reject
160,Male,True,3.24,Humanities,,680.0,7.0,PE/VC,Reject
161,Male,False,3.3,Business,White,630.0,3.0,PE/VC,Reject
162,Female,False,3.2,STEM,White,610.0,4.0,Consulting,Admit
163,,False,3.41,Humanities,Black,710.0,,PE/VC,Reject
164,,True,3.03,STEM,,570.0,5.0,Consulting,Reject
165,Male,False,3.3,Humanities,Asian,640.0,9.0,Consulting,Reject
166,Female,False,,STEM,White,600.0,4.0,Nonprofit/Gov,Admit
167,Female,,3.43,Business,White,680.0,3.0,Consulting,Admit
168,Male,False,3.36,STEM,Black,700.0,5.0,PE/VC,Admit
169,Female,True,3.15,STEM,,650.0,5.0,,Admit
170,Female,False,3.23,Business,Black,680.0,6.0,Health Care,Admit
171,Female,False,3.36,Humanities,Asian,710.0,4.0,CPG,Admit
172,Male,False,3.0,STEM,Asian,570.0,6.0,Financial Services,Reject
173,Male,False,3.25,Humanities,Asian,640.0,7.0,PE/VC,Reject
174,,False,3.15,Humanities,Hispanic,620.0,3.0,PE/VC,Reject
175,Female,True,3.17,STEM,,630.0,6.0,Nonprofit/Gov,Admit
176,Male,False,2.97,STEM,Asian,610.0,,Technology,Reject
177,Female,False,3.25,Humanities,White,670.0,5.0,Consulting,Admit
178,Male,False,3.33,,Other,640.0,3.0,Other,Reject
179,Male,False,3.43,Business,Asian,680.0,3.0,Consulting,Reject
180,Male,True,3.17,Humanities,,670.0,4.0,Technology,Reject
181,Male,True,3.4,Business,,750.0,4.0,Nonprofit/Gov,Reject
182,Male,False,3.24,STEM,Black,600.0,5.0,Investment Management,Reject
183,Male,False,3.34,Humanities,White,700.0,5.0,Consulting,Admit
184,,True,3.29,Humanities,,660.0,6.0,Energy,Reject
185,Male,True,3.04,Business,,660.0,6.0,Nonprofit/Gov,Reject
186,Male,True,3.4,Humanities,,690.0,6.0,Other,Admit
187,Male,True,3.01,Humanities,,670.0,6.0,Technology,Reject
188,Male,False,3.54,STEM,Hispanic,700.0,5.0,Other,Reject
189,Male,False,3.23,STEM,White,710.0,6.0,PE/VC,Reject
190,Male,True,3.15,,,650.0,6.0,Consulting,Reject
191,Female,False,3.32,Humanities,White,730.0,5.0,Nonprofit/Gov,Admit
192,,False,3.47,Business,Asian,690.0,7.0,Investment Management,Reject
193,Female,False,3.29,Business,Black,590.0,3.0,Real Estate,Reject
194,Male,False,3.2,STEM,Asian,690.0,5.0,Energy,Reject
195,Female,True,3.48,Humanities,,670.0,5.0,Financial Services,Admit
196,Female,False,3.14,Business,White,600.0,3.0,Nonprofit/Gov,Admit
197,Male,True,3.45,Humanities,,620.0,5.0,Consulting,Reject
198,Male,False,3.31,STEM,Hispanic,620.0,3.0,PE/VC,Reject
199,Female,False,3.6,Humanities,Other,670.0,5.0,Consulting,Admit
201,Male,False,3.61,Business,Hispanic,690.0,5.0,Technology,Reject
202,Male,False,3.11,,Black,650.0,,Financial Services,Reject
203,Male,True,3.1,Humanities,,580.0,6.0,Consulting,Reject
204,Male,True,3.06,,,620.0,6.0,Nonprofit/Gov,Reject
205,Male,True,3.18,Business,,630.0,3.0,Nonprofit/Gov,Reject
206,Male,False,3.05,Humanities,White,570.0,8.0,Consulting,Reject
207,Male,False,3.45,Humanities,Other,700.0,6.0,Consulting,Admit
208,Female,,3.26,Business,,630.0,6.0,Consulting,Admit
210,Female,False,3.23,Business,White,670.0,,Nonprofit/Gov,Admit
211,Male,True,3.11,Business,,640.0,4.0,Nonprofit/Gov,Reject
213,Female,False,3.14,Humanities,Black,580.0,5.0,Technology,Reject
214,Female,False,3.24,Business,White,660.0,6.0,Technology,Admit
215,Male,,3.43,,,610.0,5.0,Technology,Reject
216,Male,False,3.27,STEM,Asian,600.0,5.0,PE/VC,Reject
217,Male,False,3.41,Humanities,Asian,670.0,5.0,Consulting,Reject
218,Female,False,3.02,Humanities,Asian,570.0,4.0,,Admit
219,Male,False,3.24,STEM,White,670.0,3.0,Consulting,Reject
220,Male,False,3.23,STEM,Black,630.0,5.0,Technology,Reject
221,Male,False,3.09,Humanities,Asian,690.0,5.0,Other,Reject
222,Male,False,3.64,STEM,Black,680.0,4.0,PE/VC,Reject
223,Male,False,3.71,STEM,White,720.0,6.0,Other,Reject
224,Female,False,3.19,Business,Asian,630.0,5.0,Investment Banking,Admit
225,Female,False,3.24,STEM,Asian,670.0,4.0,Consulting,Admit
226,Male,False,3.01,Humanities,Asian,610.0,,PE/VC,Reject
227,Male,False,3.4,Business,Asian,630.0,4.0,Consulting,Reject
228,Female,,3.18,Humanities,Black,650.0,5.0,Consulting,Reject
229,Male,True,3.39,Humanities,,650.0,6.0,Other,Reject
230,Female,False,3.06,STEM,Hispanic,640.0,6.0,Nonprofit/Gov,Reject
231,,,3.01,Business,,610.0,6.0,Technology,Reject
232,Male,False,3.34,Business,Asian,590.0,5.0,PE/VC,Reject
233,Male,True,3.34,STEM,,680.0,8.0,,Reject
234,Male,True,3.33,STEM,,720.0,5.0,Nonprofit/Gov,Admit
235,Male,False,3.4,STEM,Black,680.0,4.0,Other,Reject
236,Male,False,3.02,STEM,Black,590.0,5.0,Consulting,Reject
237,Male,False,3.49,Humanities,White,720.0,3.0,Consulting,Reject
238,,False,3.45,Humanities,White,710.0,4.0,,Reject
239,Male,False,3.33,Humanities,White,,5.0,Media/Entertainment,Reject
240,Female,False,3.27,Humanities,Black,680.0,5.0,Health Care,Reject
241,Female,False,3.15,Business,White,620.0,6.0,Technology,Admit
242,Female,False,3.11,STEM,Asian,620.0,4.0,,Admit
243,,True,3.15,Humanities,,590.0,5.0,Investment Management,Reject
244,Male,False,3.11,Business,Asian,600.0,7.0,PE/VC,Reject
245,Male,False,3.17,,Asian,640.0,6.0,Other,Reject
246,Female,False,3.02,STEM,Asian,570.0,5.0,Other,Admit
247,Male,True,3.04,STEM,,630.0,5.0,Other,Reject
248,Male,False,3.22,STEM,White,650.0,5.0,PE/VC,Reject
249,Male,True,3.77,STEM,,780.0,5.0,Consulting,Reject
250,Female,False,3.31,Business,Hispanic,590.0,5.0,Nonprofit/Gov,Reject
251,Male,False,3.3,Humanities,Asian,660.0,4.0,Investment Banking,Reject
252,Male,False,3.26,Humanities,White,690.0,4.0,Nonprofit/Gov,Reject
253,Male,False,3.1,Humanities,White,570.0,5.0,Financial Services,Reject
254,Female,False,3.61,Humanities,Black,740.0,6.0,Health Care,Admit
255,Female,False,3.33,Business,Black,620.0,5.0,Consulting,Reject
256,Male,True,3.28,,,750.0,3.0,Nonprofit/Gov,Reject
257,Female,,3.47,STEM,,730.0,4.0,Technology,Reject
258,Male,True,3.27,Humanities,,640.0,4.0,Investment Banking,Reject
259,Male,False,3.33,STEM,Black,670.0,3.0,Technology,Reject
260,Female,False,3.28,,Black,650.0,5.0,PE/VC,Reject
261,Male,True,,Humanities,,750.0,4.0,Consulting,Reject
262,Male,False,3.1,Business,,620.0,6.0,Consulting,Reject
263,Male,False,3.21,Business,,630.0,6.0,Investment Management,Reject
264,,False,3.12,Humanities,Hispanic,620.0,4.0,PE/VC,Reject
265,Male,True,3.05,Humanities,,600.0,5.0,Technology,Reject
266,Male,False,3.31,Humanities,White,620.0,5.0,Nonprofit/Gov,Reject
267,Male,False,3.28,STEM,White,600.0,,Consulting,Reject
268,Male,False,2.95,Humanities,Hispanic,600.0,5.0,Nonprofit/Gov,Reject
269,Female,False,3.19,,Hispanic,690.0,4.0,PE/VC,Reject
270,Female,,3.34,Humanities,,670.0,5.0,Nonprofit/Gov,Admit
271,Female,True,3.34,Business,,620.0,4.0,Consulting,Admit
272,Male,,3.43,Humanities,Other,680.0,5.0,Other,Reject
273,,False,3.23,Humanities,Other,670.0,6.0,Investment Banking,Admit
274,Male,False,3.31,STEM,Asian,650.0,4.0,Investment Banking,Reject
275,Male,True,,STEM,,650.0,5.0,Technology,Reject
276,Female,False,3.05,Humanities,Asian,630.0,5.0,Consulting,Admit
277,Male,False,3.52,,White,770.0,3.0,Investment Banking,Reject
278,Female,False,3.15,Business,Black,570.0,5.0,Financial Services,Reject
279,Female,False,3.11,Business,Black,660.0,6.0,Technology,Reject
280,Male,False,3.05,Business,Asian,610.0,5.0,PE/VC,Reject
281,Male,True,3.04,Business,,570.0,5.0,PE/VC,Reject
282,Male,False,3.3,Business,White,650.0,6.0,,Reject
284,Female,False,,Humanities,Asian,590.0,4.0,Nonprofit/Gov,Admit
285,Male,False,3.29,STEM,Black,630.0,5.0,PE/VC,Reject
286,Female,False,3.49,Business,Asian,,6.0,PE/VC,Admit
287,Female,True,3.33,STEM,,640.0,7.0,Consulting,Admit
288,Male,False,3.14,Business,Hispanic,580.0,2.0,PE/VC,Reject
289,Male,False,3.42,STEM,Asian,750.0,3.0,Media/Entertainment,Admit
290,Male,True,3.18,STEM,,600.0,4.0,Technology,Reject
291,Male,False,2.98,Business,Asian,630.0,7.0,Nonprofit/Gov,Reject
292,Female,True,2.99,Humanities,,,,Nonprofit/Gov,Admit
293,Male,False,3.1,Business,White,600.0,7.0,Nonprofit/Gov,Reject
294,Female,False,,,Asian,670.0,5.0,Technology,Admit
295,Male,,2.95,,Asian,570.0,4.0,Consulting,Reject
296,Male,False,3.16,,Asian,580.0,5.0,Consulting,Reject
297,Female,True,3.34,Humanities,,570.0,,Consulting,Admit
298,Male,False,3.14,,,660.0,,Financial Services,Reject
299,Male,False,3.1,STEM,Asian,630.0,4.0,PE/VC,Reject
300,Male,False,3.21,Humanities,White,,,Nonprofit/Gov,Reject
301,Male,False,,Business,Hispanic,690.0,5.0,Nonprofit/Gov,Reject
302,Male,False,3.36,Business,Asian,720.0,4.0,Technology,Admit
303,Male,False,3.2,Humanities,Hispanic,650.0,6.0,Technology,Reject
304,Female,,3.15,Business,Black,620.0,6.0,Consulting,Reject
305,Male,False,3.53,STEM,Asian,660.0,5.0,Investment Banking,Admit
306,Female,False,,Humanities,Hispanic,660.0,6.0,Consulting,Reject
307,,False,3.25,Humanities,Asian,710.0,6.0,Technology,Admit
308,Female,False,3.34,Humanities,Asian,760.0,4.0,PE/VC,Admit
309,Male,False,3.16,,Asian,650.0,5.0,Health Care,Reject
310,Male,False,3.4,STEM,White,630.0,5.0,Investment Banking,Reject
311,Male,False,3.49,Business,Other,700.0,5.0,Investment Management,Admit
312,Male,False,3.17,Humanities,Hispanic,670.0,2.0,Investment Banking,Reject
313,Male,False,3.3,,White,650.0,4.0,PE/VC,Reject
314,Female,False,3.25,Humanities,Asian,580.0,5.0,Consulting,Admit
315,Male,,3.33,Business,White,580.0,5.0,Consulting,Reject
316,Female,False,3.29,Humanities,Asian,700.0,4.0,Investment Management,Admit
317,Male,False,3.32,Humanities,White,700.0,6.0,PE/VC,Reject
318,Female,True,3.33,STEM,,680.0,4.0,Health Care,Admit
319,,False,3.32,Humanities,White,,5.0,Consulting,Admit
320,Male,False,3.03,Humanities,Asian,590.0,4.0,,Reject
321,Male,False,3.44,Business,Black,650.0,6.0,Investment Banking,Reject
322,Female,,3.24,STEM,,610.0,5.0,Other,Admit
323,Female,False,3.36,Humanities,Black,650.0,6.0,Technology,Reject
324,Female,True,3.14,Humanities,,580.0,5.0,Nonprofit/Gov,Admit
325,Male,False,3.2,STEM,Asian,710.0,,,Reject
326,Male,False,3.1,Humanities,Hispanic,570.0,5.0,,Reject
327,Male,False,3.37,Humanities,White,660.0,4.0,Consulting,Reject
328,Male,True,3.31,Humanities,,610.0,6.0,Technology,Reject
329,Male,False,3.34,STEM,White,750.0,6.0,,Reject
330,Male,False,3.38,Business,Asian,570.0,4.0,Other,Reject
331,Female,False,3.32,,Hispanic,,5.0,Financial Services,Reject
332,Male,True,3.33,Business,,670.0,5.0,Consulting,Admit
333,Male,False,,STEM,White,600.0,5.0,Other,Reject
334,,True,3.06,STEM,,630.0,5.0,Financial Services,Reject
335,Male,True,3.01,Business,,570.0,7.0,Real Estate,Reject
336,Female,False,3.21,Humanities,White,700.0,6.0,PE/VC,Admit
337,Male,False,3.5,Humanities,Asian,670.0,5.0,Nonprofit/Gov,Reject
338,Female,True,3.29,Humanities,,690.0,4.0,Financial Services,Admit
339,Male,True,3.2,Business,,650.0,5.0,Consulting,Reject
340,Male,True,3.11,Humanities,,600.0,5.0,Consulting,Reject
341,Female,False,3.1,Business,Other,620.0,6.0,Real Estate,Admit
342,Male,False,3.39,Business,White,730.0,6.0,Investment Banking,Reject
343,Male,True,3.28,Business,,660.0,4.0,Technology,Reject
344,Female,False,3.18,STEM,White,590.0,,Nonprofit/Gov,Admit
346,Male,True,3.58,STEM,,710.0,5.0,Investment Banking,Admit
347,Female,False,3.35,STEM,White,700.0,5.0,Technology,Admit
348,Male,False,3.16,STEM,Black,650.0,5.0,Technology,Reject
349,Male,False,3.1,,White,620.0,4.0,Other,Reject
350,Male,False,3.17,STEM,Hispanic,700.0,5.0,Consulting,Reject
351,Male,False,3.2,Business,Asian,690.0,5.0,Consulting,Reject
352,Female,True,3.09,Humanities,,660.0,6.0,Financial Services,Admit
353,Female,False,3.47,Humanities,,760.0,4.0,Technology,Admit
354,Male,False,3.24,STEM,White,630.0,6.0,Consulting,Reject
355,Male,False,3.28,STEM,Black,720.0,5.0,PE/VC,Admit
356,Male,False,3.37,STEM,White,690.0,5.0,Consulting,Admit
357,Female,,3.31,Humanities,,630.0,6.0,,Admit
358,,True,3.03,Humanities,,660.0,5.0,Consulting,Admit
359,Male,True,3.05,Humanities,,580.0,,Consulting,Reject
360,Male,False,3.06,Humanities,Asian,600.0,5.0,PE/VC,Reject
361,Male,False,3.41,Humanities,Black,620.0,4.0,Consulting,Reject
362,Male,True,,Humanities,,650.0,,Health Care,Reject
363,Male,False,,STEM,Black,620.0,5.0,Consulting,Reject
364,Male,False,3.06,Business,Other,630.0,5.0,Other,Reject
365,Female,False,3.42,Humanities,,700.0,6.0,Consulting,Admit
367,Male,True,3.08,STEM,,580.0,6.0,PE/VC,Reject
368,Male,False,3.27,Humanities,Black,690.0,6.0,Other,Reject
369,Male,False,3.22,Business,Asian,580.0,5.0,Investment Banking,Reject
370,Female,,3.16,Humanities,White,620.0,5.0,Technology,Admit
371,Male,True,3.39,STEM,,710.0,6.0,Investment Banking,Reject
372,Male,False,3.22,STEM,White,570.0,6.0,Other,Reject
373,Female,,3.12,Business,Hispanic,570.0,4.0,PE/VC,Reject
374,Female,True,3.21,STEM,,600.0,4.0,Consulting,Admit
375,Female,False,3.01,Humanities,Black,660.0,8.0,Technology,Reject
376,Female,False,3.47,Business,Black,640.0,6.0,PE/VC,Reject
377,Female,True,3.18,Business,,690.0,3.0,Financial Services,Admit
378,Male,True,3.38,Humanities,,680.0,7.0,CPG,Reject
379,Female,False,3.11,STEM,,610.0,6.0,PE/VC,Admit
380,Male,True,3.08,Humanities,,620.0,6.0,Technology,Reject
381,Female,False,3.26,STEM,White,650.0,6.0,Consulting,Admit
382,Male,,3.21,Business,Asian,630.0,,Consulting,Reject
383,Female,False,3.1,Business,Asian,610.0,5.0,Nonprofit/Gov,Admit
384,Male,True,3.17,Business,,580.0,6.0,Consulting,Reject
385,Male,False,3.43,Humanities,Hispanic,660.0,4.0,CPG,Admit
386,Female,False,3.31,STEM,White,620.0,,Investment Banking,Admit
387,Female,False,3.03,Humanities,Asian,590.0,5.0,,Admit
388,Female,True,3.08,STEM,,630.0,5.0,Health Care,Admit
389,Female,False,3.18,Humanities,Hispanic,620.0,6.0,Investment Management,Reject
390,Male,False,3.47,Business,White,690.0,6.0,Other,Reject
391,Male,False,3.42,Business,Asian,720.0,3.0,Consulting,Reject
392,Female,,3.34,Business,,680.0,4.0,Financial Services,Admit
393,Male,True,3.37,Business,,680.0,5.0,Health Care,Reject
394,Female,False,3.49,Humanities,White,690.0,5.0,,Admit
395,Male,True,3.32,STEM,,580.0,5.0,Real Estate,Reject
396,Male,False,3.3,Humanities,Other,620.0,5.0,CPG,Reject
397,Male,False,3.38,Humanities,White,680.0,,Financial Services,Reject
398,Male,False,3.18,STEM,White,590.0,4.0,PE/VC,Reject
399,Female,False,3.28,STEM,Hispanic,630.0,5.0,Other,Reject
400,Male,False,3.24,Humanities,White,600.0,3.0,PE/VC,Reject
402,Male,False,3.16,STEM,Black,600.0,,PE/VC,Reject
403,Male,True,3.22,Humanities,,640.0,5.0,Other,Reject
404,Female,False,,Business,White,620.0,,Consulting,Admit
405,Female,False,3.36,Business,White,620.0,4.0,PE/VC,Admit
406,Female,False,3.06,Business,,580.0,5.0,Investment Banking,Admit
407,Male,False,3.17,STEM,Black,660.0,5.0,Investment Banking,Reject
408,Female,False,3.06,Business,White,610.0,6.0,Nonprofit/Gov,Admit
409,Male,True,3.39,Humanities,,670.0,7.0,Investment Banking,Reject
410,Male,,3.44,Business,Asian,600.0,5.0,Health Care,Reject
411,Male,False,3.14,Humanities,Asian,640.0,5.0,Consulting,Reject
412,Female,False,3.29,Business,White,600.0,5.0,Consulting,Admit
413,Female,False,3.18,Humanities,Asian,630.0,4.0,PE/VC,Admit
414,Male,False,3.52,,Asian,730.0,6.0,PE/VC,Reject
415,,True,3.31,Humanities,,630.0,5.0,Financial Services,Reject
